,name,github_id,description,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,trending
46,noogle,nix-community/noogle,Nix function exploring.,discovery,{},,,27.0,1,False,1.0,,,,,,,,,,
47,nixos-anywhere,nix-community/nixos-anywhere,Install NixOS everywhere via SSH.,installation-media,{},,,83.0,1,False,2.0,,,,,,,,,,
48,nixos-apple-silicon,nix-community/nixos-apple-silicon,Resources to install NixOS bare metal on Apple Silicon Macs.,installation-media,{},,,55.0,1,False,2.0,,,,,,,,,,
49,nixos-generators,nix-community/nixos-generators,"Take a NixOS config and build multiple different images types including VirtualBox VMs, Azure images, and installation..",installation-media,{},,,69.0,1,False,2.0,,,,,,,,,,
50,nixos-images,nix-community/nixos-images,Automatically build (netboot) images for NixOS.,installation-media,{},,,26.0,1,False,2.0,,,,,,,,,,
51,nixos-infect,elitak/nixos-infect,Replace a running non-NixOS Linux host with NixOS.,installation-media,{},,,107.0,1,False,2.0,,,,,,,,,,
52,Colmena,zhaofengli/colmena,"A simple, stateless NixOS deployment tool modeled after NixOps and morph.",deployment-tools,{},,,40.0,1,False,2.0,,,,,,,,,,
53,comin,nlewo/comin,A deployment tool to continuously pull from Git repositories.,deployment-tools,{},,,29.0,1,False,2.0,,,,,,,,,,
54,deploy-rs,serokell/deploy-rs,A simple multi-profile Nix-flake deploy tool.,deployment-tools,{},,,49.0,1,False,2.0,,,,,,,,,,
55,KubeNix,hall/kubenix,A Kubernetes resource builder using Nix.,deployment-tools,{},,,31.0,1,False,2.0,,,,,,,,,,
56,morph,DBCDK/morph,A tool for managing existing NixOS hosts.,deployment-tools,{},,,35.0,1,False,2.0,,,,,,,,,,
57,nix2container,nlewo/nix2container,An archive-less dockerTools.buildImage implementation.,deployment-tools,{},,,32.0,1,False,2.0,,,,,,,,,,
58,Nixery,tazjin/nixery,A Docker-compatible container registry which builds images ad-hoc via Nix.,deployment-tools,{},5.0,5.0,12.0,1,False,2.0,,,,,,,,,,
59,terranix,terranix/terranix,Use Nix and the NixOS module system to write your Terraform code.,deployment-tools,{},,,35.0,1,False,2.0,,,,,,,,,,
60,Makes,fluidattacks/makes,"A Nix-based CI/CD pipeline framework for building, testing, and releasing projects in any language, from anywhere.",devops,{},,,27.0,1,False,1.0,,,,,,,,,,
61,Standard,divnix/std,"An opinionated Nix Flakes framework to keep Nix code in large projects organized, accompanied by a friendly CLI/TUI..",devops,{},,,44.0,1,False,1.0,,,,,,,,,,
62,microvm,astro/microvm.nix,NixOS-based MicroVMs.,virtualisation,{},,,117.0,1,False,2.0,,,,,,,,,,
