,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,trending,labels,updated_github_id
272,dwarffs,edolstra/dwarffs,A FUSE filesystem that allows tools like gdb to look up debug info files via HTTP.,command-line-tools,https://github.com/edolstra/dwarffs,https://github.com/edolstra/dwarffs,GPL-3.0,2017-07-06 16:43:44,2024-12-02 13:32:34,2024-12-02 13:32:34,85,,25.0,12,16.0,5.0,9.0,210,8.0,9,True,3,,,,,,,,,,
273,nix-visualize,craigmbooth/nix-visualize,Uses the Nix package manager to visualize the dependencies of a given package.,command-line-tools,https://github.com/craigmbooth/nix-visualize,https://github.com/craigmbooth/nix-visualize,Apache-2.0,2016-12-31 21:28:31,2024-01-17 18:22:40,2024-01-17 18:22:40,52,,11.0,5,6.0,2.0,3.0,196,7.0,9,False,3,,,,,,,,,,
274,nocargo,oxalica/nocargo,Build Rust crates with Nix Build System.,programming-languages,https://github.com/oxalica/nocargo,https://github.com/oxalica/nocargo,MIT,2021-06-09 16:38:38,2025-04-30 06:47:40,2025-04-30 06:47:40,128,,7.0,6,9.0,6.0,9.0,172,4.0,9,True,3,,,,2.0,2.0,,,,['rust'],
275,gradle2nix,tadfisher/gradle2nix,Generate Nix expressions which build Gradle-based projects.,programming-languages,https://github.com/tadfisher/gradle2nix,https://github.com/tadfisher/gradle2nix,MIT,2019-04-01 16:26:33,2025-04-02 21:31:27,2023-09-30 19:19:09,51,,56.0,6,35.0,37.0,18.0,133,5.0,9,False,3,,,,,,,,,,
276,nixt,nix-community/nixt,Simple unit-testing for Nix.,development,https://github.com/nix-community/nixt,https://github.com/nix-community/nixt,MIT,2020-06-07 22:21:41,2025-08-17 02:04:05,2024-10-18 17:37:56,127,,10.0,9,24.0,6.0,11.0,115,5.0,9,True,3,,,,,,,,,,
277,nix-auto-follow,fzakaria/nix-auto-follow,A script to achieve automatically following all flake inputs for Nix.,command-line-tools,https://github.com/fzakaria/nix-auto-follow,https://github.com/fzakaria/nix-auto-follow,MIT,2024-08-01 05:13:49,2025-08-01 18:34:15,2025-08-01 18:34:14,38,4.0,9.0,3,22.0,1.0,9.0,83,6.0,9,True,3,,,,,,,,,,
278,nixos-riscv,NickCao/nixos-riscv,NixOS for RISC-V architecture.,distributions,https://github.com/NickCao/nixos-riscv,https://github.com/NickCao/nixos-riscv,MIT,2021-11-27 05:33:08,2025-05-29 00:16:49,2025-05-29 00:16:49,473,3.0,12.0,10,13.0,2.0,10.0,81,6.0,9,True,3,,,,,,,,,,
279,kanidm-provision,oddlama/kanidm-provision,A small utility to help with kanidm provisioning.,security,https://github.com/oddlama/kanidm-provision,https://github.com/oddlama/kanidm-provision,Apache-2.0,2024-03-05 15:52:10,2025-06-07 09:33:34,2025-06-07 09:33:11,64,8.0,9.0,4,10.0,3.0,16.0,65,5.0,9,True,3,,,,,,,,,,
280,equinix-metal-builders,NixOS/equinix-metal-builders,iPXE image for Nix builders on Equinix Metals Spot market.,devops,https://github.com/NixOS/equinix-metal-builders,https://github.com/NixOS/equinix-metal-builders,MIT,2019-07-24 00:25:14,2024-11-09 04:09:46,2024-11-09 04:09:43,316,,10.0,13,20.0,,6.0,50,10.0,9,True,3,,,,,,,,,,
281,rust-nix-templater,yusdacra/rust-nix-templater,Generates Nix build and development files for Rust projects.,programming-languages,https://github.com/90-008/rust-nix-templater,https://github.com/90-008/rust-nix-templater,MIT,2021-01-04 15:40:01,2023-03-14 02:45:44,2023-03-14 02:45:44,178,,,3,3.0,4.0,15.0,49,2.0,9,False,3,2022-11-03 23:57:26,0.4.0,9.0,,,,,,['rust'],90-008/rust-nix-templater
