,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id,new_addition
94,node2nix,svanderburg/node2nix,Generate Nix expression from a `package.json` (or `package-lock.json`) (to be stored as files).,programming-languages,https://github.com/svanderburg/node2nix,https://github.com/svanderburg/node2nix,MIT,2014-09-18 20:32:04,2024-11-18 23:19:58,2023-01-12 19:28:09,277,,96.0,8,89.0,118.0,124.0,559,49.0,16,False,2,2022-04-20 14:28:23,node2nix-1.11.0,16.0,13.0,13.0,,,,,,
95,NixOS Search,NixOS/nixos-search,Search NixOS packages and options.,discovery,https://github.com/NixOS/nixos-search,https://github.com/NixOS/nixos-search,MIT,2020-03-28 04:16:53,2025-08-24 08:09:10,2025-08-24 08:09:09,507,40.0,137.0,14,573.0,123.0,278.0,470,98.0,16,True,1,,,,,,,,,,,
96,nix-pills,NixOS/nix-pills,Guided introduction to Nix fundamentals from basic concepts to advanced use cases.,learning,https://github.com/NixOS/nix-pills,https://github.com/NixOS/nix-pills,CC-BY-SA-4.0,2017-08-14 09:08:14,2025-07-23 18:49:40,2025-07-23 18:49:39,396,10.0,122.0,82,189.0,39.0,38.0,429,113.0,16,True,2,,,,,,,,,,,
97,cargo2nix,cargo2nix/cargo2nix,Granular builds of Rust projects for Nix.,programming-languages,https://github.com/cargo2nix/cargo2nix,https://github.com/cargo2nix/cargo2nix,MIT,2019-05-13 03:27:27,2025-06-19 20:24:21,2025-06-19 20:19:13,637,1.0,81.0,12,217.0,69.0,118.0,428,42.0,16,True,2,2025-06-19 20:23:17,0.12.0,15.0,,,,,['rust'],,,
98,cabal2nix,NixOS/cabal2nix,Converts a Cabal file into a Nix build expression.,programming-languages,https://github.com/NixOS/cabal2nix,https://github.com/NixOS/cabal2nix,,2011-08-05 15:31:37,2025-08-10 13:48:15,2025-08-10 13:48:15,2602,15.0,153.0,15,334.0,77.0,246.0,383,131.0,16,True,2,,,,,,,,,,,
99,terranix,terranix/terranix,Use Nix and the NixOS module system to write your Terraform code.,deployment-tools,https://github.com/terranix/terranix,https://github.com/terranix/terranix,GPL-3.0,2018-12-09 17:51:29,2025-08-23 09:53:52,2025-08-23 09:53:52,453,15.0,47.0,11,87.0,13.0,23.0,370,30.0,16,True,2,2024-10-15 02:32:47,2.8.0,15.0,,,,,,,,
100,android-nixpkgs,tadfisher/android-nixpkgs,Nix-packaged Android SDK.,programming-languages,https://github.com/tadfisher/android-nixpkgs,https://github.com/tadfisher/android-nixpkgs,MIT,2018-10-21 06:17:39,2025-08-23 20:21:24,2025-08-23 20:21:02,1909,84.0,42.0,6,63.0,26.0,32.0,370,18.0,16,True,2,,,,,,,,['android'],,,
101,Self Host Blocks,ibizaman/selfhostblocks,Modular server management based on NixOS modules and focused on best practices.,nixos-modules,https://github.com/ibizaman/selfhostblocks,https://github.com/ibizaman/selfhostblocks,AGPL-3.0,2022-12-17 23:39:16,2025-08-24 20:08:49,2025-08-19 13:09:37,774,73.0,12.0,10,404.0,80.0,33.0,344,12.0,16,True,2,2025-07-12 21:17:21,0.4.0,13.0,,,,,,,,
102,nixos-cli,nix-community/nixos-cli,A unified NixOS tooling replacement for nixos-* utilities.,command-line-tools,https://github.com/nix-community/nixos-cli,https://github.com/nix-community/nixos-cli,GPL-3.0,2023-06-26 18:21:45,2025-08-18 15:33:44,2025-08-18 15:33:44,467,59.0,7.0,7,72.0,6.0,25.0,308,6.0,16,True,2,2025-07-13 22:56:26,0.13.0,14.0,,,,,,,,
103,harmonia,nix-community/harmonia,Nix binary cache implemented in Rust.,development,https://github.com/nix-community/harmonia,https://github.com/nix-community/harmonia,MIT,2023-01-22 21:22:29,2025-08-21 02:07:18,2025-08-21 02:06:16,1062,113.0,24.0,2,569.0,10.0,14.0,286,25.0,16,True,2,2025-04-24 09:17:39,harmonia-v2.1.0,22.0,,,,,,,,
104,flake-checker,DeterminateSystems/flake-checker,Health checks for your Nix flakes.,command-line-tools,https://github.com/DeterminateSystems/flake-checker,https://github.com/DeterminateSystems/flake-checker,Apache-2.0,2023-05-19 13:36:34,2025-08-20 15:51:40,2025-08-20 15:51:39,655,30.0,7.0,7,187.0,4.0,4.0,275,11.0,16,True,2,2025-07-03 14:06:00,0.2.8,30.0,1.0,1.0,1545.0,59.0,,,,
105,gomod2nix,nix-community/gomod2nix,Convert applications using Go modules to Nix expressions.,programming-languages,https://github.com/nix-community/gomod2nix,https://github.com/nix-community/gomod2nix,MIT,2020-12-03 13:56:10,2025-08-24 15:05:48,2025-08-24 15:04:40,315,18.0,63.0,2,144.0,34.0,43.0,275,27.0,16,True,2,2024-10-20 18:50:38,1.6.0,8.0,,,,,,,,
106,omnix,juspay/omnix,A Nix companion to improve developer experience.,development,https://github.com/juspay/omnix,https://github.com/juspay/omnix,AGPL-3.0,2023-05-27 01:08:11,2025-08-21 17:55:44,2025-07-29 23:06:34,840,17.0,22.0,16,289.0,32.0,134.0,217,15.0,16,True,2,2025-07-15 18:56:39,1.3.0,6.0,,,,,,,,
107,haskell-flake,srid/haskell-flake,A `flake-parts` Nix module for Haskell development.,programming-languages,https://github.com/srid/haskell-flake,https://github.com/srid/haskell-flake,MIT,2022-05-30 13:01:57,2025-08-24 21:42:15,2025-08-24 21:42:13,444,10.0,25.0,9,261.0,38.0,89.0,202,17.0,16,True,2,2024-06-24 17:17:26,0.5.0,5.0,,,,,['haskell'],,,
108,nix-cargo-integration,yusdacra/nix-cargo-integration,Library to easily and effortlessly integrate Cargo projects with Nix.,programming-languages,https://github.com/90-008/nix-cargo-integration,https://github.com/90-008/nix-cargo-integration,MIT,2021-04-10 22:16:35,2025-08-24 06:17:59,2025-08-24 06:17:59,2256,89.0,23.0,4,74.0,2.0,83.0,202,15.0,16,True,2,,,,,,,,['rust'],,90-008/nix-cargo-integration,
109,nix-idea,NixOS/nix-idea,Nix plugin for the IntelliJ IDEA IDE.,editors-and-ides,https://github.com/NixOS/nix-idea,https://github.com/NixOS/nix-idea,Apache-2.0,2016-09-08 08:44:59,2025-08-20 15:43:35,2025-08-20 15:42:50,309,11.0,29.0,45,59.0,11.0,24.0,198,17.0,16,True,3,2025-07-04 13:35:36,0.4.0.18,28.0,,,312.0,2.0,,,,
110,nixos-generators,nix-community/nixos-generators,"Take a NixOS config and build multiple different images types including VirtualBox VMs, Azure images, and installation..",installation-media,https://github.com/nix-community/nixos-generators,https://github.com/nix-community/nixos-generators,MIT,2018-04-28 10:16:02,2025-08-21 01:00:27,2025-07-07 15:55:40,483,1.0,147.0,28,271.0,84.0,88.0,2244,68.0,15,True,2,,,,,,,,,,,
111,hlissner/dotfiles,hlissner/dotfiles,A comprehensive NixOS configuration example with detailed module structure.,nix-configurations,https://github.com/hlissner/dotfiles,https://github.com/hlissner/dotfiles,MIT,2013-03-01 08:33:14,2025-05-14 17:05:48,2025-05-14 17:05:11,2621,,100.0,42,10.0,4.0,25.0,1827,7.0,15,True,2,,,,,,,,,,,
112,flake-utils,numtide/flake-utils,Pure Nix flake utility functions to help with writing flakes.,development,https://github.com/numtide/flake-utils,https://github.com/numtide/flake-utils,MIT,2020-04-11 13:21:34,2024-11-13 21:27:18,2024-11-13 21:27:16,102,,83.0,21,81.0,16.0,24.0,1431,28.0,15,True,2,2022-05-21 09:05:05,1.0.0,1.0,,,,,,,,
