,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,trending,updated_github_id,dependent_project_count,github_dependent_project_count,labels,new_addition,gitlab_id,gitlab_url
232,ruby-nix,inscapist/ruby-nix,Generates reproducible ruby/bundler app environment with Nix.,programming-languages,https://github.com/inscapist/ruby-nix,https://github.com/inscapist/ruby-nix,MIT,2022-12-20 08:37:50,2025-08-13 04:24:12,2025-08-13 04:24:12,145.0,,17.0,6.0,45.0,4.0,17.0,149,11,True,3,2024-09-07 03:26:11,0.2.2,,,8.0,6.0,,,,,['ruby'],,,
233,zmk-nix,lilyinstarlight/zmk-nix,Build system and configuration files for generating and building ZMK firmware with Nix.,development,https://github.com/lilyinstarlight/zmk-nix,https://github.com/lilyinstarlight/zmk-nix,MIT,2023-11-27 21:50:04,2026-01-25 00:47:37,2026-01-25 00:46:56,325.0,24.0,25.0,2.0,246.0,6.0,5.0,124,11,True,3,,,,,,9.0,,,,,,,,
234,userborn,nikstur/userborn,Declaratively bear (manage) Linux users and groups.,nixos-modules,https://github.com/nikstur/userborn,https://github.com/nikstur/userborn,MIT,2024-07-22 19:33:25,2026-01-26 00:24:50,2025-12-01 21:21:15,80.0,3.0,5.0,4.0,28.0,4.0,7.0,119,11,True,3,2025-03-16 16:15:43,0.4.0,,,4.0,7.0,,,,,,,,
235,zon2nix,nix-community/zon2nix,Convert the dependencies in `build.zig.zon` to a Nix expression.,programming-languages,https://github.com/nix-community/zon2nix,https://github.com/nix-community/zon2nix,MPL-2.0,2023-08-08 19:18:56,2026-01-04 03:11:56,2026-01-04 03:05:17,88.0,8.0,18.0,3.0,43.0,8.0,9.0,108,11,True,3,2023-09-03 23:31:23,0.1.2,,,3.0,8.0,,,,,,,,
236,opam2nix,timbertson/opam2nix,Generate Nix expressions from opam packages.,programming-languages,https://github.com/timbertson/opam2nix,https://github.com/timbertson/opam2nix,MIT,2015-08-06 10:42:08,2025-01-29 21:52:55,2025-01-29 05:58:48,370.0,,26.0,10.0,29.0,17.0,45.0,92,11,True,3,,,,,,11.0,,,,,,,,
237,lon,nikstur/lon,Lock & update Nix dependencies.,command-line-tools,https://github.com/nikstur/lon,https://github.com/nikstur/lon,MIT,2024-08-09 17:21:27,2025-12-01 22:05:39,2025-12-01 22:05:38,145.0,5.0,4.0,3.0,49.0,4.0,5.0,73,11,True,2,2025-06-16 12:45:52,0.8.0,,,8.0,5.0,,,,,,,,
238,nixpkgs-firefox-darwin,bandithedoge/nixpkgs-firefox-darwin,Automatically updated Firefox binary packages for macOS.,overlays,https://github.com/bandithedoge/nixpkgs-firefox-darwin,https://github.com/bandithedoge/nixpkgs-firefox-darwin,MIT,2021-12-12 17:28:12,2026-01-25 01:19:33,2026-01-25 01:19:32,1031.0,84.0,8.0,2.0,11.0,3.0,6.0,73,11,True,3,,,,,,10.0,,,,,,,,
239,zellij-nix,a-kenji/zellij-nix,Zellij Nix Environment.,development,https://github.com/a-kenji/zellij-nix,https://github.com/a-kenji/zellij-nix,MIT,2021-02-23 21:35:40,2026-01-25 07:46:54,2026-01-25 07:46:13,1657.0,65.0,4.0,1.0,792.0,3.0,1.0,53,11,True,3,,,,,,5.0,,,,,,,,
240,hydra-cli,nlewo/hydra-cli,A client for the Hydra Nix CI.,command-line-tools,https://github.com/nlewo/hydra-cli,https://github.com/nlewo/hydra-cli,MIT,2019-06-18 12:48:30,2024-07-22 08:10:00,2023-12-19 22:16:49,208.0,,14.0,4.0,61.0,5.0,6.0,48,11,False,2,2020-11-15 08:04:35,0.3.0,,,2.0,5.0,,,,,,,,
241,manix,mlvzk/manix,"Find configuration options and function documentation for Nixpkgs, NixOS, and Home Manager.",command-line-tools,https://github.com/mlvzk/manix,https://github.com/mlvzk/manix,MPL-2.0,2020-08-15 17:14:06,2024-01-28 15:07:18,2021-04-19 23:47:08,82.0,,14.0,14.0,17.0,10.0,7.0,421,10,False,3,2021-04-19 23:51:39,0.6.3,132.0,2.0,4.0,3.0,,,,,,,,
242,Nix Package Versions,lazamar/nix-package-versions,Find all versions of a package that were available in a channel and the revision you can download it from.,discovery,https://github.com/lazamar/nix-package-versions,https://github.com/lazamar/nix-package-versions,,2020-02-11 23:23:47,2025-06-19 13:42:50,2025-06-19 13:42:45,318.0,,32.0,6.0,19.0,10.0,29.0,406,10,True,3,,,,,,12.0,,,,,,,,
243,static-haskell-nix,nh2/static-haskell-nix,Easily build most Haskell programs into fully static Linux executables.,programming-languages,https://github.com/nh2/static-haskell-nix,https://github.com/nh2/static-haskell-nix,,2018-06-13 01:06:17,2024-06-30 13:23:08,2024-06-15 22:58:11,257.0,,36.0,16.0,57.0,19.0,53.0,401,10,False,3,2024-06-15 23:02:38,2024-06-16,66.0,0.0,5.0,12.0,,,,,['haskell'],,,
