,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id
223,elm2nix,cachix/elm2nix,Convert `elm.json` into Nix expressions.,programming-languages,https://github.com/cachix/elm2nix,https://github.com/cachix/elm2nix,BSD-3-Clause,2017-12-14 14:31:58,2025-04-30 18:32:22,2025-04-30 18:32:20,118,3.0,17.0,8,34.0,4.0,17.0,116,14.0,9,True,3,,,,,,,,,,
224,nixt,nix-community/nixt,Simple unit-testing for Nix.,development,https://github.com/nix-community/nixt,https://github.com/nix-community/nixt,MIT,2020-06-07 22:21:41,2025-06-22 02:04:32,2024-10-18 17:37:56,127,,10.0,9,24.0,6.0,11.0,111,5.0,9,True,3,,,,,,,,,,
225,nixos-avf,nix-community/nixos-avf,NixOS for Android Terminal (Android Virtualization Framework).,distributions,https://github.com/nix-community/nixos-avf,https://github.com/nix-community/nixos-avf,GPL-3.0,2025-03-24 22:04:05,2025-06-21 19:34:37,2025-06-21 19:33:26,106,77.0,2.0,4,2.0,5.0,6.0,110,,9,True,3,2025-03-26 16:56:00,nixos-25.05,3.0,,,2.0,0.0,,,
226,userborn,nikstur/userborn,Declaratively bear (manage) Linux users and groups.,nixos-modules,https://github.com/nikstur/userborn,https://github.com/nikstur/userborn,MIT,2024-07-22 19:33:25,2025-03-16 16:14:32,2025-03-16 16:04:58,48,,2.0,2,13.0,3.0,4.0,85,4.0,9,True,3,2025-03-16 16:15:43,0.4.0,4.0,,,,,,,
227,kanidm-provision,oddlama/kanidm-provision,A small utility to help with kanidm provisioning.,security,https://github.com/oddlama/kanidm-provision,https://github.com/oddlama/kanidm-provision,Apache-2.0,2024-03-05 15:52:10,2025-06-07 09:33:34,2025-06-07 09:33:11,64,9.0,8.0,4,9.0,2.0,16.0,52,5.0,9,True,3,,,,,,,,,,
228,rust-nix-templater,yusdacra/rust-nix-templater,Generates Nix build and development files for Rust projects.,programming-languages,https://github.com/90-008/rust-nix-templater,https://github.com/90-008/rust-nix-templater,MIT,2021-01-04 15:40:01,2023-03-14 02:45:44,2023-03-14 02:45:44,178,,,3,3.0,4.0,15.0,49,2.0,9,False,3,2022-11-03 23:57:26,0.4.0,9.0,,,,,['rust'],,90-008/rust-nix-templater
229,sublime-nix,wmertens/sublime-nix,Nix syntax highlighting for Sublime Text.,development,https://github.com/wmertens/sublime-nix,https://github.com/wmertens/sublime-nix,MIT,2014-12-01 00:26:39,2025-02-18 20:20:38,2025-02-18 20:17:33,44,,9.0,2,8.0,2.0,4.0,33,6.0,9,True,3,2025-02-18 20:20:38,V2.4.0,6.0,,,,,,,
230,nix-1p,tazjin/nix-1p,"A (more or less) one page introduction to Nix, the language.",learning,https://github.com/tazjin/nix-1p,https://github.com/tazjin/nix-1p,,2019-08-01 21:49:02,2024-04-16 17:20:17,2024-04-16 17:10:16,24,,24.0,18,9.0,7.0,8.0,956,5.0,8,False,3,,,,,,,,,,
231,NixNG,nix-community/NixNG,"A GNU/Linux distribution similar to NixOS, defining difference is a focus on containers and lightweightness.",distributions,https://github.com/nix-community/NixNG,https://github.com/nix-community/NixNG,,2021-06-21 05:05:39,2025-05-04 15:07:54,2025-05-04 15:07:54,329,1.0,19.0,15,40.0,17.0,6.0,376,9.0,8,True,3,,,,,,,,,,
232,nix-inspect,bluskript/nix-inspect,Interactive tui for inspecting nix configs.,command-line-tools,https://github.com/bluskript/nix-inspect,https://github.com/bluskript/nix-inspect,MIT,2024-04-02 05:45:28,2024-12-05 00:07:07,2024-12-05 00:07:06,47,,5.0,8,1.0,10.0,12.0,346,2.0,8,True,3,,,,,,,,,,
233,nixos-up,samuela/nixos-up,Super easy NixOS installer that can be used from the installation ISO.,installation-media,https://github.com/samuela/nixos-up,https://github.com/samuela/nixos-up,,2021-04-07 04:49:37,2025-04-19 03:42:19,2025-04-19 03:42:19,26,2.0,30.0,4,7.0,7.0,11.0,247,6.0,8,True,3,,,,,,,,,,
234,nix-serve-ng,aristanetworks/nix-serve-ng,A drop-in replacement for nix-serve that is faster and more reliable.,development,https://github.com/aristanetworks/nix-serve-ng,https://github.com/aristanetworks/nix-serve-ng,,2022-07-06 23:42:29,2025-05-28 19:02:54,2025-05-28 19:02:52,54,4.0,19.0,15,29.0,6.0,10.0,191,13.0,8,True,3,,,,,,,,,,
235,drv-parts,DavHau/drv-parts,Composable derivations for Nix with a focus on simplicity.,command-line-tools,https://github.com/DavHau/drv-parts,https://github.com/DavHau/drv-parts,MIT,2022-11-30 11:48:09,2023-08-01 09:19:46,2023-08-01 09:19:42,125,,6.0,8,14.0,8.0,2.0,160,6.0,8,False,3,,,,,,,,,,
236,peerix,cid-chan/peerix,Peer2Peer Nix-Binary-Cache.,development,https://github.com/cid-chan/peerix,https://github.com/cid-chan/peerix,GPL-3.0,2021-10-17 14:11:16,2024-05-07 21:54:04,2022-08-25 12:18:00,56,,16.0,8,13.0,12.0,4.0,153,5.0,8,False,3,,,,,,,,,,
237,nix-prefetch,msteen/nix-prefetch,A universal tool for updating source checksums.,command-line-tools,https://github.com/msteen/nix-prefetch,https://github.com/msteen/nix-prefetch,MIT,2019-01-21 22:53:01,2023-03-06 20:09:09,2021-07-24 08:47:28,61,,10.0,5,24.0,18.0,12.0,133,6.0,8,False,3,,,,,,,,,,
238,NixOS-DNS,Janik-Haag/NixOS-DNS,Manage your DNS zones with NixOS.,nixos-modules,https://github.com/Janik-Haag/NixOS-DNS,https://github.com/Janik-Haag/NixOS-DNS,MIT,2023-12-10 21:39:31,2025-03-21 19:00:57,2025-03-21 19:00:54,27,,4.0,3,12.0,6.0,4.0,133,4.0,8,True,3,,,,,,,,,,
239,nixkell,pwm/nixkell,A Haskell project template using Nix and direnv.,programming-languages,https://github.com/pwm/nixkell,https://github.com/pwm/nixkell,MIT,2021-02-09 15:06:18,2025-06-18 18:35:00,2025-06-18 18:35:00,87,1.0,10.0,4,43.0,,6.0,112,3.0,8,True,3,,,,,,,,['haskell'],,
240,Napalm,nix-community/napalm,Support for building npm packages in Nix with a lightweight npm registry.,programming-languages,https://github.com/nix-community/napalm,https://github.com/nix-community/napalm,MIT,2019-04-20 11:19:05,2024-06-09 10:37:55,2024-06-09 10:37:35,147,,16.0,8,46.0,13.0,10.0,111,18.0,8,True,3,,,,,,,,,,
241,r13y.com,grahamc/r13y.com,NixOS Reproducibility Checker.,command-line-tools,https://github.com/grahamc/r13y.com,https://github.com/grahamc/r13y.com,MIT,2019-02-05 02:51:52,2022-09-22 20:58:21,2022-06-07 00:18:03,135,,15.0,4,20.0,9.0,9.0,99,8.0,8,False,3,,,,,,,,,,
242,tex2nix,rgri/tex2nix,Generate texlive nix expressions for documents.,programming-languages,https://github.com/rgri/tex2nix,https://github.com/rgri/tex2nix,MIT,2020-12-28 12:22:27,2025-06-02 16:26:39,2025-05-31 05:47:36,70,3.0,7.0,5,33.0,2.0,2.0,98,8.0,8,True,3,,,,,,,,,,
243,nixtract,tweag/nixtract,A CLI tool to extract the graph of derivations from a Nix flake.,command-line-tools,https://github.com/tweag/nixtract,https://github.com/tweag/nixtract,,2023-08-14 12:32:42,2025-04-04 20:47:13,2024-09-04 07:36:37,123,,4.0,8,40.0,8.0,10.0,96,7.0,8,True,3,2024-04-17 07:19:27,0.3.0,3.0,,,54.0,2.0,,,
