,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id,gitlab_id,gitlab_url
188,nix-mode,NixOS/nix-mode,An Emacs major mode for editing Nix expressions.,editors-and-ides,https://github.com/NixOS/nix-mode,https://github.com/NixOS/nix-mode,LGPL-2.1,2016-08-17 20:46:39,2024-06-25 16:56:44,2023-04-21 20:36:55,564.0,,75.0,17.0,114.0,37.0,57.0,318,39.0,12,False,3.0,,,,,,,,,,,,
189,nixpkgs-hammering,jtojnar/nixpkgs-hammering,An opinionated linter for Nixpkgs package expressions.,command-line-tools,https://github.com/jtojnar/nixpkgs-hammering,https://github.com/jtojnar/nixpkgs-hammering,MIT,2020-04-26 04:27:10,2025-09-10 23:35:20,2025-09-10 23:35:19,222.0,6.0,19.0,7.0,90.0,48.0,38.0,302,14.0,12,True,2.0,,,,,,,,,,,,
190,NixVirt,AshleyYakeley/NixVirt,LibVirt domain management for Nix.,virtualisation,https://github.com/AshleyYakeley/NixVirt,https://github.com/AshleyYakeley/NixVirt,MIT,2024-01-27 19:54:59,2025-05-25 04:01:24,2025-05-25 02:26:43,407.0,,34.0,3.0,51.0,6.0,35.0,277,19.0,12,True,3.0,,,,,,,,,,,,
191,styx,styx-static/styx,Static site generator in Nix expression language.,development,https://github.com/styx-static/styx,https://github.com/styx-static/styx,MIT,2016-10-02 22:24:18,2023-01-13 16:06:57,2023-01-13 16:06:53,338.0,,25.0,11.0,51.0,15.0,35.0,229,13.0,12,False,3.0,,,,,,,,,,,,
192,Nix Templates,jonringer/nix-template,Collection of Nix templates for different types of projects.,learning,https://github.com/jonringer/nix-template,https://github.com/jonringer/nix-template,CC0-1.0,2020-07-17 00:41:15,2024-11-20 19:15:33,2024-11-20 19:15:29,149.0,,8.0,8.0,22.0,9.0,26.0,218,6.0,12,True,2.0,2022-12-17 17:56:21,0.4.1,9.0,,,,,,,,,
193,nix-search-cli,peterldowns/nix-search-cli,CLI for searching packages on search.nixos.org.,discovery,https://github.com/peterldowns/nix-search-cli,https://github.com/peterldowns/nix-search-cli,MIT,2023-02-19 19:14:30,2025-07-14 19:44:45,2025-07-14 19:42:35,81.0,1.0,8.0,3.0,7.0,1.0,14.0,190,2.0,12,True,2.0,2025-07-14 19:43:00,0.3+commit.8ecb614,33.0,6.0,6.0,790.0,25.0,,,,,
194,Bundix,nix-community/bundix,Generates a Nix expression for your Bundler-managed application.,programming-languages,https://github.com/nix-community/bundix,https://github.com/nix-community/bundix,,2016-01-24 20:36:56,2024-07-01 18:19:19,2023-11-08 07:54:39,118.0,,54.0,4.0,56.0,37.0,26.0,179,18.0,12,False,3.0,2021-04-01 08:26:58,2.5.1,5.0,3.0,3.0,,,['ruby'],,,,
195,nixos-rk3588,ryan4yin/nixos-rk3588,"Minimal NixOS running on RK3588/RK3588s based SBC(Orange Pi 5 Plus, Orange Pi 5, Rock 5A, etc).",distributions,https://github.com/ryan4yin/nixos-rk3588,https://github.com/ryan4yin/nixos-rk3588,MIT,2023-06-02 03:05:44,2025-06-02 15:58:26,2025-06-02 15:58:19,121.0,,30.0,10.0,35.0,12.0,25.0,164,10.0,12,True,2.0,2024-03-24 10:25:24,2024032400,2.0,,,464.0,18.0,,,,,
196,rippkgs,replit/rippkgs,A CLI for indexing and searching packages in Nix expressions.,discovery,https://github.com/replit/rippkgs,https://github.com/replit/rippkgs,MIT,2024-02-08 16:38:09,2025-05-17 04:12:44,2025-05-17 04:12:43,53.0,,5.0,21.0,35.0,6.0,4.0,160,4.0,12,True,2.0,2025-02-11 22:56:58,1.2.0,5.0,,,,,,,,,
197,dns.nix,nix-community/dns.nix,A Nix DSL for DNS zone files.,nixos-modules,https://github.com/nix-community/dns.nix,https://github.com/nix-community/dns.nix,MPL-2.0,2019-03-08 17:27:59,2025-09-01 11:28:40,2025-09-01 11:28:40,98.0,1.0,28.0,6.0,31.0,10.0,8.0,156,13.0,12,True,3.0,2021-10-26 18:34:12,1.1.2,4.0,,,,,,,,,
198,NüschtOS Search,NuschtOS/search,Simple and fast static-page NixOS option search.,discovery,https://github.com/NuschtOS/search,https://github.com/NuschtOS/search,MIT,2024-06-23 20:04:47,2025-09-14 21:25:31,2025-09-14 21:25:30,247.0,31.0,9.0,4.0,218.0,17.0,28.0,120,13.0,12,True,2.0,,,,,,,,,,,,
199,hydra-check,nix-community/hydra-check,Check hydra for the build status of a package.,command-line-tools,https://github.com/nix-community/hydra-check,https://github.com/nix-community/hydra-check,MIT,2020-03-05 18:26:56,2025-08-12 14:21:23,2025-08-12 14:21:23,140.0,12.0,12.0,3.0,69.0,,15.0,110,10.0,12,True,2.0,2025-03-23 06:22:26,2.0.4,10.0,,,,,,,,,
